Temperature,Humidity,Rain,Soil_Moisture,Crop_Type,Irrigation_Needed
28.4,23.9,No,54.4,Rice,Yes
23.4,60.6,Yes,93.9,Wheat,No
21.6,73.2,No,32.0,Cotton,Yes
44.7,85.3,Yes,43.1,Rice,Yes
28.1,73.6,No,71.2,Wheat,No
40.2,80.1,Yes,56.5,Cotton,No
26.4,45.5,No,70.8,Rice,Yes
37.0,81.1,Yes,92.8,Rice,No
39.0,26.0,No,23.7,Rice,Yes
34.9,87.1,No,73.0,Rice,No
31.8,61.1,No,46.9,Cotton,No
30.3,81.3,Yes,62.0,Cotton,No
28.7,53.9,No,57.6,Wheat,No
43.2,68.3,No,75.6,Cotton,No
40.8,59.5,No,21.1,Cotton,Yes
44.1,74.9,No,48.6,Rice,Yes
23.1,26.1,No,61.3,Cotton,No
38.3,24.5,No,63.4,Wheat,Yes
43.5,38.5,No,61.6,Cotton,No
24.5,32.0,Yes,41.8,Cotton,No
21.7,85.4,No,38.0,Rice,Yes
38.5,36.4,No,41.5,Rice,Yes
34.4,93.2,No,68.3,Rice,No
41.0,45.3,Yes,55.8,Wheat,No
23.5,33.7,No,32.6,Cotton,Yes
39.9,79.2,No,77.4,Cotton,No
25.0,69.4,No,20.5,Rice,Yes
24.1,57.4,Yes,100.0,Wheat,No
24.1,61.7,No,60.6,Wheat,No
40.4,73.9,No,69.7,Rice,No
36.6,37.1,No,37.7,Rice,Yes
33.1,94.7,No,20.9,Rice,Yes
29.0,93.1,No,64.3,Cotton,No
41.9,68.8,No,70.0,Rice,No
29.8,35.0,No,64.4,Wheat,No
40.4,71.0,No,28.6,Cotton,Yes
31.0,25.4,No,65.2,Rice,Yes
29.4,22.3,Yes,77.2,Cotton,No
31.6,39.3,Yes,75.1,Cotton,No
27.5,54.7,No,66.0,Rice,Yes
38.7,85.1,No,70.8,Wheat,Yes
32.6,74.5,No,56.8,Rice,Yes
25.8,75.7,No,25.3,Rice,Yes
42.5,51.9,No,49.3,Rice,Yes
29.6,45.9,No,24.7,Wheat,Yes
33.6,47.8,Yes,64.4,Wheat,No
42.7,94.1,Yes,66.2,Rice,No
35.6,23.0,No,24.0,Rice,Yes
22.9,85.0,Yes,60.4,Cotton,No
43.5,63.4,Yes,40.4,Rice,Yes
35.7,52.9,No,68.5,Rice,Yes
28.4,74.4,No,76.9,Wheat,No
23.5,56.5,No,24.3,Cotton,Yes
39.9,85.5,No,77.3,Rice,No
35.5,87.6,No,51.4,Wheat,No
33.3,51.6,No,38.0,Cotton,Yes
42.3,40.8,No,24.6,Rice,Yes
39.7,64.4,No,50.0,Cotton,No
23.8,88.4,Yes,84.3,Rice,No
27.8,35.8,No,62.4,Wheat,No
26.2,66.7,No,23.0,Wheat,Yes
38.6,67.4,Yes,41.9,Wheat,Yes
20.8,75.0,No,44.2,Rice,Yes
34.2,29.9,No,37.7,Cotton,Yes
39.1,73.7,Yes,57.8,Rice,No
41.9,88.2,Yes,48.4,Rice,Yes
28.6,33.5,No,68.2,Rice,Yes
40.5,37.8,Yes,91.9,Wheat,No
22.8,92.9,Yes,64.1,Wheat,No
41.2,33.6,No,74.4,Rice,Yes
23.2,84.1,Yes,51.7,Wheat,No
29.9,56.9,No,48.6,Rice,Yes
39.9,38.5,No,33.6,Wheat,Yes
23.7,85.3,No,58.4,Rice,Yes
25.7,53.4,Yes,98.7,Wheat,No
38.1,58.6,No,56.2,Rice,Yes
38.0,46.9,No,41.5,Cotton,No
36.0,64.5,No,58.9,Rice,Yes
37.3,32.3,Yes,39.0,Rice,Yes
33.6,49.3,No,73.3,Rice,Yes
26.3,92.7,Yes,64.8,Cotton,No
28.6,39.4,No,47.0,Cotton,No
24.5,69.3,Yes,72.9,Rice,No
42.7,44.4,Yes,75.5,Wheat,No
34.6,78.0,No,24.3,Cotton,Yes
30.0,29.8,No,61.0,Wheat,No
31.6,92.7,Yes,56.9,Wheat,No
43.7,54.0,No,62.8,Rice,Yes
23.8,37.7,No,69.4,Rice,Yes
34.7,25.5,No,68.2,Cotton,No
32.6,32.7,No,53.2,Cotton,No
35.3,59.0,Yes,66.1,Wheat,No
20.5,45.3,No,28.6,Rice,Yes
41.8,82.2,No,66.5,Rice,No
43.3,52.3,No,36.3,Cotton,Yes
34.1,38.7,Yes,72.9,Cotton,No
37.4,66.3,Yes,48.6,Cotton,No
43.1,73.0,Yes,43.9,Cotton,No
37.7,32.5,No,57.8,Wheat,No
23.8,32.6,No,23.3,Rice,Yes
34.4,22.8,No,64.9,Rice,Yes
35.2,75.2,Yes,61.9,Cotton,No
30.6,69.8,Yes,40.2,Wheat,Yes
38.4,55.6,No,50.7,Rice,Yes
43.4,83.3,Yes,45.7,Rice,Yes
43.1,80.4,No,36.6,Wheat,Yes
31.3,63.9,Yes,79.0,Rice,No
22.8,85.1,Yes,42.9,Rice,Yes
44.6,35.4,Yes,82.8,Wheat,No
41.0,28.4,Yes,40.3,Wheat,Yes
23.1,40.2,No,34.8,Wheat,Yes
43.0,24.3,Yes,84.9,Rice,No
41.7,59.8,No,39.0,Cotton,Yes
33.0,90.2,Yes,37.9,Rice,Yes
34.8,23.0,No,41.6,Rice,Yes
30.0,29.2,No,36.2,Cotton,Yes
21.4,53.9,Yes,91.3,Wheat,No
28.4,90.0,No,38.8,Cotton,Yes
40.1,43.7,No,67.3,Wheat,Yes
20.1,58.0,No,73.5,Wheat,No
28.3,23.1,No,46.0,Rice,Yes
30.0,31.1,Yes,84.9,Rice,No
33.4,94.0,Yes,55.1,Rice,No
43.0,92.4,Yes,100.0,Rice,No
28.7,20.4,No,25.4,Cotton,Yes
28.7,91.4,No,61.2,Rice,Yes
38.4,67.9,Yes,61.2,Cotton,No
31.3,85.1,No,43.3,Wheat,Yes
25.6,54.1,Yes,75.8,Cotton,No
31.3,58.7,No,62.2,Wheat,No
23.5,56.7,No,20.3,Wheat,Yes
24.4,70.0,No,30.0,Wheat,Yes
32.5,30.5,No,62.8,Rice,Yes
30.5,22.2,No,60.0,Cotton,No
42.9,43.1,Yes,91.3,Rice,No
29.1,72.9,Yes,90.1,Rice,No
34.5,35.1,No,77.0,Wheat,No
35.8,70.5,Yes,80.5,Rice,No
20.3,92.7,No,37.9,Cotton,Yes
36.6,27.0,No,26.3,Cotton,Yes
24.5,70.4,No,66.9,Cotton,No
44.0,53.3,Yes,79.1,Rice,No
23.7,85.1,No,22.9,Rice,Yes
30.4,33.3,No,41.6,Cotton,No
22.1,71.9,Yes,94.9,Wheat,No
44.9,82.9,No,50.0,Cotton,No
32.6,90.8,Yes,69.0,Cotton,No
34.9,71.2,Yes,66.9,Cotton,No
21.7,57.3,No,32.5,Rice,Yes
38.7,66.3,No,42.1,Rice,Yes
25.2,85.2,Yes,61.3,Cotton,No
42.5,62.8,No,23.1,Rice,Yes
25.1,22.3,No,66.1,Rice,Yes
24.8,89.8,No,45.0,Wheat,No
20.9,71.7,No,69.3,Cotton,No
31.8,70.7,Yes,84.1,Wheat,No
34.1,36.2,No,32.7,Wheat,Yes
21.6,69.4,No,59.4,Rice,Yes
39.4,49.5,Yes,61.4,Wheat,No
31.3,68.8,No,72.8,Cotton,No
33.1,28.0,No,32.9,Rice,Yes
31.0,69.3,No,60.7,Wheat,No
30.0,95.0,Yes,78.4,Cotton,No
34.0,23.6,No,37.7,Cotton,Yes
23.9,93.3,Yes,45.3,Wheat,No
24.5,50.5,Yes,77.5,Cotton,No
41.5,85.3,Yes,83.7,Rice,No
43.7,78.7,Yes,59.3,Rice,No
29.3,62.5,No,58.7,Cotton,No
26.8,75.4,No,43.7,Cotton,No
36.1,85.9,Yes,83.6,Cotton,No
30.2,50.3,No,32.0,Cotton,Yes
20.6,44.5,No,73.4,Wheat,No
23.9,70.1,No,37.2,Wheat,Yes
37.9,80.6,Yes,64.7,Cotton,No
36.5,77.2,Yes,40.8,Wheat,Yes
20.7,79.8,No,26.7,Cotton,Yes
25.5,52.7,No,51.0,Cotton,No
25.8,81.3,Yes,52.8,Cotton,No
36.8,29.0,Yes,82.9,Rice,No
20.5,60.8,No,20.9,Rice,Yes
22.6,20.4,No,42.7,Rice,Yes
40.0,44.3,No,40.2,Wheat,Yes
24.5,47.5,No,21.2,Rice,Yes
36.3,49.7,Yes,43.3,Wheat,Yes
26.0,72.2,No,44.8,Wheat,Yes
22.5,49.1,No,49.6,Rice,Yes
26.1,53.7,No,44.3,Wheat,Yes
38.1,37.8,No,51.9,Rice,Yes
41.4,48.0,No,55.7,Rice,Yes
40.8,37.0,Yes,36.4,Cotton,No
29.9,25.5,No,47.8,Rice,Yes
36.7,65.3,Yes,100.0,Rice,No
25.1,70.1,No,51.1,Wheat,No
27.3,66.5,No,60.7,Cotton,No
42.4,54.8,No,38.7,Rice,Yes
20.3,48.5,No,66.4,Wheat,No
22.1,84.8,Yes,88.4,Rice,No
25.2,58.9,No,51.3,Rice,Yes
20.7,55.9,No,78.6,Wheat,No
24.5,21.9,No,27.5,Wheat,Yes
34.6,45.6,No,21.0,Wheat,Yes
30.5,48.5,No,66.2,Cotton,No
42.3,49.9,No,68.4,Cotton,No
40.4,63.5,No,27.2,Wheat,Yes
28.5,60.0,No,35.9,Rice,Yes
26.5,65.6,Yes,36.6,Cotton,No
29.5,77.4,No,37.6,Rice,Yes
34.8,81.0,Yes,87.2,Wheat,No
26.7,73.9,Yes,70.9,Rice,No
35.6,91.7,Yes,61.5,Rice,No
30.2,21.4,No,42.3,Cotton,No
33.8,34.7,No,20.1,Cotton,Yes
30.9,20.6,No,38.0,Wheat,Yes
27.4,68.6,No,58.8,Wheat,No
43.7,87.4,No,78.5,Rice,No
39.1,38.3,Yes,92.9,Rice,No
23.5,89.5,No,21.4,Rice,Yes
41.7,24.5,No,73.9,Wheat,Yes
32.2,90.1,Yes,78.0,Cotton,No
42.4,46.4,No,66.8,Wheat,Yes
40.0,27.6,No,47.5,Rice,Yes
30.6,56.4,No,43.9,Cotton,No
20.6,39.3,No,38.2,Cotton,Yes
26.7,41.4,No,23.9,Wheat,Yes
33.5,43.0,Yes,51.5,Wheat,No
35.8,80.2,No,34.8,Wheat,Yes
26.4,60.4,No,49.0,Rice,Yes
23.5,43.3,Yes,84.2,Rice,No
40.9,65.8,Yes,69.6,Cotton,No
44.6,73.7,No,23.5,Rice,Yes
33.1,40.4,No,77.5,Rice,Yes
24.3,51.0,No,76.6,Rice,Yes
26.8,29.1,No,67.1,Rice,Yes
20.5,33.6,Yes,100.0,Cotton,No
42.9,71.1,No,52.7,Cotton,No
22.9,33.6,Yes,96.7,Wheat,No
34.4,59.4,No,24.5,Rice,Yes
26.9,73.2,No,41.9,Wheat,Yes
33.9,28.0,No,33.5,Wheat,Yes
36.3,62.5,No,31.7,Rice,Yes
40.7,39.2,No,28.4,Wheat,Yes
25.2,92.2,Yes,74.5,Rice,No
20.3,56.3,No,66.9,Wheat,No
23.4,80.4,Yes,68.8,Wheat,No
42.5,61.3,Yes,41.9,Rice,Yes
41.8,23.3,No,68.7,Rice,Yes
34.9,67.5,No,58.2,Wheat,No
35.0,91.4,Yes,56.5,Wheat,No
36.6,65.1,Yes,76.8,Cotton,No
24.4,81.4,No,35.6,Wheat,Yes
42.9,86.3,No,40.7,Rice,Yes
30.5,37.1,Yes,87.9,Rice,No
29.6,35.9,No,37.4,Wheat,Yes
33.0,65.8,Yes,68.6,Rice,No
21.2,50.8,No,73.4,Wheat,No
24.2,83.0,Yes,84.8,Cotton,No
38.5,87.5,No,23.7,Wheat,Yes
22.1,46.5,No,28.8,Rice,Yes
35.1,37.8,No,20.5,Wheat,Yes
26.1,78.5,Yes,78.2,Wheat,No
29.7,40.6,No,46.9,Wheat,No
27.2,81.7,Yes,52.1,Cotton,No
28.9,51.8,No,77.5,Rice,Yes
38.0,70.1,No,51.8,Cotton,No
27.4,27.2,Yes,48.6,Cotton,No
34.2,66.8,No,50.0,Rice,Yes
31.9,53.9,No,60.8,Rice,Yes
36.6,64.0,No,24.6,Rice,Yes
43.4,32.6,Yes,55.4,Rice,No
38.3,75.3,Yes,82.4,Rice,No
25.4,84.7,No,47.6,Wheat,No
20.8,36.3,No,52.8,Rice,Yes
26.6,27.2,No,46.0,Rice,Yes
34.9,21.8,No,22.6,Cotton,Yes
21.3,68.1,No,29.9,Rice,Yes
32.4,65.5,No,46.7,Cotton,No
34.9,61.0,No,32.6,Rice,Yes
28.4,37.4,No,23.0,Rice,Yes
39.3,49.3,Yes,87.1,Wheat,No
22.7,64.6,Yes,89.3,Wheat,No
21.9,57.3,Yes,81.5,Cotton,No
38.2,94.1,No,71.2,Cotton,No
32.4,30.2,No,34.5,Cotton,Yes
37.2,72.1,No,77.6,Rice,No
30.9,50.3,No,31.8,Rice,Yes
26.2,52.1,No,77.1,Cotton,No
40.5,73.8,No,79.7,Cotton,No
40.0,71.9,Yes,77.5,Cotton,No
37.4,94.3,No,78.9,Wheat,No
26.8,29.6,No,54.2,Rice,Yes
34.8,27.8,No,35.6,Cotton,Yes
29.0,74.3,Yes,69.7,Rice,No
22.3,63.4,No,55.6,Cotton,No
42.9,40.6,No,24.4,Cotton,Yes
23.4,26.0,No,57.3,Wheat,No
43.8,26.4,No,78.9,Cotton,No
31.2,87.1,Yes,50.1,Cotton,No
24.6,34.4,No,67.6,Rice,Yes
33.5,44.3,Yes,85.9,Cotton,No
41.8,37.0,No,76.6,Wheat,Yes
38.3,46.6,Yes,92.5,Cotton,No
40.2,25.2,No,51.3,Rice,Yes
36.5,58.9,No,78.6,Cotton,No
37.3,25.1,No,65.4,Rice,Yes
41.2,80.0,No,29.7,Rice,Yes
26.2,37.5,No,48.6,Cotton,No
32.2,60.5,No,63.1,Rice,Yes
25.5,86.0,No,34.8,Rice,Yes
44.7,68.8,No,58.4,Cotton,No
43.6,60.0,Yes,70.3,Cotton,No
21.0,44.3,No,29.8,Wheat,Yes
37.6,45.0,No,53.9,Wheat,No
43.1,70.2,Yes,84.8,Wheat,No
24.5,94.6,No,49.9,Rice,Yes
34.2,69.6,Yes,40.5,Rice,Yes
42.9,61.8,No,20.5,Wheat,Yes
20.8,74.8,Yes,51.6,Cotton,No
37.4,54.9,No,75.6,Cotton,No
27.4,24.5,No,33.7,Cotton,Yes
43.1,62.2,Yes,79.5,Rice,No
44.3,91.8,Yes,43.9,Wheat,Yes
43.6,33.1,Yes,61.9,Rice,No
31.9,71.8,No,70.9,Wheat,No
41.6,35.1,No,63.7,Wheat,Yes
41.1,60.2,No,25.7,Cotton,Yes
28.0,27.3,No,45.7,Rice,Yes
40.7,53.8,Yes,40.6,Rice,Yes
20.9,76.7,No,48.9,Rice,Yes
34.9,46.1,Yes,84.6,Cotton,No
25.8,69.9,No,27.1,Wheat,Yes
23.0,79.7,No,37.3,Rice,Yes
21.9,89.5,No,43.9,Rice,Yes
37.4,37.6,No,75.2,Cotton,No
28.5,49.9,No,79.6,Rice,Yes
38.1,31.4,Yes,41.6,Cotton,No
21.6,94.4,Yes,89.6,Cotton,No
27.9,89.5,Yes,66.2,Rice,No
33.5,60.5,No,43.5,Rice,Yes
39.8,83.2,Yes,83.2,Cotton,No
28.0,59.1,No,75.1,Rice,Yes
35.6,66.8,No,77.1,Rice,No
42.1,26.7,No,54.6,Cotton,No
35.4,76.6,No,41.4,Cotton,No
25.8,29.6,Yes,89.3,Cotton,No
20.6,82.0,No,35.1,Cotton,Yes
41.8,78.7,No,53.8,Rice,Yes
20.5,73.2,Yes,52.3,Rice,Yes
41.9,22.7,Yes,76.2,Cotton,No
33.2,42.7,No,34.4,Wheat,Yes
43.5,39.7,No,31.5,Wheat,Yes
40.0,47.0,No,75.1,Cotton,No
44.9,26.6,No,26.1,Rice,Yes
28.8,90.3,No,50.4,Wheat,No
39.2,61.5,No,33.3,Rice,Yes
30.0,42.9,No,22.3,Wheat,Yes
32.0,49.8,No,22.2,Rice,Yes
35.7,53.5,No,30.5,Rice,Yes
41.8,65.0,No,72.0,Rice,No
44.6,58.7,No,36.9,Wheat,Yes
39.2,89.0,No,77.0,Cotton,No
30.4,57.3,No,54.9,Wheat,No
30.5,94.4,No,46.2,Cotton,No
38.4,83.9,No,54.8,Rice,Yes
26.0,35.6,No,51.0,Rice,Yes
22.8,89.8,No,65.5,Cotton,No
28.9,28.7,No,36.9,Rice,Yes
27.2,81.3,No,41.2,Cotton,No
27.4,48.5,Yes,83.9,Rice,No
25.8,85.8,Yes,98.5,Cotton,No
21.1,85.1,Yes,92.7,Rice,No
20.4,80.4,No,45.2,Cotton,No
44.7,79.3,No,66.8,Wheat,Yes
30.7,42.9,No,48.6,Cotton,No
29.6,26.1,No,49.9,Rice,Yes
37.0,50.2,No,32.3,Wheat,Yes
25.5,33.0,No,55.5,Cotton,No
43.7,72.1,Yes,47.2,Wheat,Yes
39.7,46.0,Yes,52.2,Wheat,Yes
22.2,93.2,Yes,89.9,Wheat,No
30.4,68.1,No,32.4,Wheat,Yes
42.0,81.7,Yes,48.1,Wheat,Yes
43.6,29.9,Yes,42.9,Wheat,Yes
31.7,84.7,Yes,95.3,Cotton,No
35.3,89.2,No,50.4,Rice,Yes
24.2,56.5,Yes,55.3,Rice,No
44.8,65.5,No,68.7,Cotton,No
25.8,77.4,Yes,86.5,Cotton,No
43.6,33.1,No,39.9,Wheat,Yes
36.2,57.7,Yes,80.7,Wheat,No
35.2,49.9,Yes,89.5,Rice,No
32.8,31.0,No,59.3,Rice,Yes
25.8,47.6,Yes,49.0,Wheat,No
24.4,25.1,Yes,85.7,Rice,No
25.5,21.9,No,52.3,Wheat,No
24.7,30.1,Yes,60.2,Rice,No
39.5,92.2,Yes,58.5,Cotton,No
28.8,61.2,Yes,43.3,Cotton,No
21.4,92.4,No,27.7,Wheat,Yes
44.2,52.4,No,65.9,Wheat,Yes
42.1,43.4,No,20.0,Rice,Yes
43.2,58.0,Yes,55.4,Cotton,No
44.9,53.0,No,51.4,Wheat,Yes
24.3,27.9,No,23.3,Rice,Yes
29.9,68.1,Yes,100.0,Cotton,No
39.0,36.2,No,33.6,Cotton,Yes
37.4,66.5,Yes,61.0,Cotton,No
23.8,68.8,Yes,49.2,Cotton,No
40.4,31.4,No,33.8,Wheat,Yes
25.6,24.6,No,20.1,Wheat,Yes
25.6,78.6,No,63.8,Cotton,No
33.4,54.5,No,78.0,Cotton,No
34.8,24.4,No,33.5,Rice,Yes
34.5,94.6,Yes,83.9,Rice,No
22.3,24.3,No,64.5,Rice,Yes
41.9,72.1,Yes,86.7,Cotton,No
26.6,93.8,Yes,56.4,Cotton,No
23.2,37.9,No,38.2,Rice,Yes
42.2,30.7,No,39.5,Wheat,Yes
43.9,29.1,No,62.8,Rice,Yes
41.6,42.7,No,69.0,Cotton,No
40.2,27.6,No,30.9,Cotton,Yes
36.4,71.9,No,42.3,Cotton,No
33.8,24.7,No,74.1,Wheat,No
22.2,58.2,No,68.4,Wheat,No
30.2,94.8,Yes,100.0,Rice,No
29.3,81.0,No,65.3,Rice,No
26.5,66.1,Yes,60.2,Cotton,No
38.1,43.0,Yes,69.6,Cotton,No
32.4,66.8,Yes,81.6,Cotton,No
22.0,59.5,No,24.7,Cotton,Yes
25.5,52.0,No,52.7,Wheat,No
37.1,29.8,Yes,76.0,Cotton,No
21.9,86.5,Yes,42.0,Cotton,No
41.3,53.7,No,66.8,Cotton,No
32.4,34.6,No,55.0,Rice,Yes
32.0,47.6,Yes,97.2,Wheat,No
34.8,51.1,No,22.5,Rice,Yes
40.6,82.1,No,35.9,Cotton,Yes
28.7,75.0,Yes,78.2,Wheat,No
37.0,77.7,Yes,50.0,Rice,Yes
34.1,20.8,No,62.9,Wheat,No
26.7,51.2,No,65.5,Wheat,No
42.0,56.1,No,26.2,Rice,Yes
39.9,21.4,No,50.8,Rice,Yes
36.5,39.5,No,50.5,Wheat,No
41.3,77.0,No,42.2,Wheat,Yes
41.7,30.3,Yes,94.4,Cotton,No
37.7,60.1,No,69.7,Wheat,No
40.9,36.1,No,61.8,Cotton,No
37.4,20.9,No,62.9,Wheat,No
37.0,38.1,No,47.7,Wheat,No
35.5,93.2,No,75.3,Cotton,No
38.8,80.1,Yes,81.0,Wheat,No
24.0,92.0,No,63.7,Rice,Yes
42.0,56.6,Yes,89.0,Rice,No
41.8,28.2,No,36.4,Cotton,Yes
20.7,61.1,Yes,85.3,Wheat,No
40.6,54.1,Yes,46.3,Cotton,No
23.2,83.3,Yes,63.1,Rice,No
28.4,27.4,No,40.1,Rice,Yes
38.6,56.6,No,78.7,Rice,Yes
24.0,31.3,No,71.4,Rice,Yes
40.4,44.4,Yes,82.9,Wheat,No
40.8,75.3,Yes,82.2,Rice,No
32.7,55.7,No,53.7,Wheat,No
20.2,48.2,No,76.8,Cotton,No
27.2,49.6,No,49.8,Rice,Yes
35.4,54.5,No,42.8,Wheat,Yes
44.5,78.9,No,29.8,Cotton,Yes
35.8,86.9,No,67.2,Rice,No
26.5,91.7,Yes,88.9,Wheat,No
35.9,79.0,No,43.1,Cotton,No
33.5,43.7,No,21.5,Cotton,Yes
39.5,71.6,Yes,83.3,Rice,No
22.7,52.8,No,20.7,Cotton,Yes
39.0,39.1,No,62.2,Wheat,Yes
33.5,83.1,No,78.2,Rice,No
44.1,22.9,No,46.3,Wheat,Yes
28.5,87.6,No,34.1,Cotton,Yes
35.8,54.6,No,62.3,Wheat,No
43.3,67.8,No,69.0,Rice,No
22.6,69.5,Yes,68.9,Wheat,No
43.4,87.1,No,78.0,Rice,No
37.2,67.8,Yes,39.9,Rice,Yes
21.7,66.0,No,50.3,Rice,Yes
27.5,25.0,No,63.1,Rice,Yes
37.7,58.9,No,71.8,Rice,Yes
21.7,31.3,No,30.8,Rice,Yes
34.6,75.3,Yes,80.6,Wheat,No
28.6,58.4,No,53.2,Rice,Yes
35.5,71.0,Yes,62.5,Rice,No
21.1,23.1,No,27.9,Cotton,Yes
41.8,26.4,No,71.9,Wheat,Yes
44.3,73.7,Yes,42.9,Wheat,Yes
44.2,25.4,Yes,56.9,Rice,No
38.7,25.3,No,37.4,Rice,Yes
23.3,20.9,No,72.3,Rice,Yes
